"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"135","Devil’s Ale (2010)","American Pale Ale (APA)",0.055,45,12,"SanTan Brewing Company","Chandler"," AZ"
"136","Epicenter Amber Ale (2010)","American Amber / Red Ale",0.055,20,12,"SanTan Brewing Company","Chandler"," AZ"
"137","Heavy Lifting","American IPA",0.062,80,12,"Boulevard Brewing Company","Kansas City"," MO"
"138","Surfrider","American Pale Ale (APA)",0.052,35,16,"The Dudes' Brewing Company","Torrance"," CA"
"139","Grandma's Pecan","English Brown Ale",0.069,34,16,"The Dudes' Brewing Company","Torrance"," CA"
"140","Double Trunk","American Double / Imperial IPA",0.099,101,16,"The Dudes' Brewing Company","Torrance"," CA"
"141","Even Keel","American IPA",0.038,40,12,"Ballast Point Brewing Company","San Diego"," CA"
"142","Ballast Point Pale Ale","Kölsch",0.052,23,12,"Ballast Point Brewing Company","San Diego"," CA"
"143","Big Eye India Pale Ale","American IPA",0.07,75,12,"Ballast Point Brewing Company","San Diego"," CA"
"144","Sculpin IPA","American IPA",0.07,70,12,"Ballast Point Brewing Company","San Diego"," CA"
"145","Czech Yo Self","Czech Pilsener",0.055,45,12,"Figueroa Mountain Brewing Company","Buellton"," CA"
"146","FMB 101","Kölsch",0.048,20,12,"Figueroa Mountain Brewing Company","Buellton"," CA"
"147","Avery Joe’s Premium American Pilsner","German Pilsener",0.047,42,12,"Avery Brewing Company","Boulder"," CO"
"148","White Rascal","Witbier",0.056,10,12,"Avery Brewing Company","Boulder"," CO"
"149","Avery India Pale Ale","American IPA",0.063,69,12,"Avery Brewing Company","Boulder"," CO"
"150","Ellie’s Brown Ale","American Brown Ale",0.055,17,12,"Avery Brewing Company","Boulder"," CO"
"151","Cow Creek","American Amber / Red Lager",0.054,26,12,"Twisted X Brewing Company","Dripping Springs"," TX"
"152","Chupahopra","American IPA",0.075,63,12,"Twisted X Brewing Company","Dripping Springs"," TX"
"153","Twisted X","American Adjunct Lager",0.051,19,12,"Twisted X Brewing Company","Dripping Springs"," TX"
"154","Vanilla Porter","American Porter",0.07,11,16,"Gonzo's BiggDogg Brewing","Kalamazoo"," MI"
"155","Galaxy IPA","American IPA",0.075,60,16,"Big Muddy Brewing","Murphysboro"," IL"
"156","Gose","Gose",0.046,8,16,"Lost Nation Brewing","East Fairfield"," VT"
"157","Vermont Pilsner","German Pilsener",0.048,20,16,"Lost Nation Brewing","East Fairfield"," VT"
"158","Jah Mon","American IPA",0.05,100,12,"Rivertowne Brewing Company","Export"," PA"
"159","Fist City","American Pale Ale (APA)",0.055,40,12,"Revolution Brewing Company","Chicago"," IL"
"160","Rosa Hibiscus Ale","Herbed / Spiced Beer",0.058,15,12,"Revolution Brewing Company","Chicago"," IL"
"161","Fistmas Ale","Herbed / Spiced Beer",0.061,31,12,"Revolution Brewing Company","Chicago"," IL"
"162","Oktoberfest Revolution","Märzen / Oktoberfest",0.057,25,12,"Revolution Brewing Company","Chicago"," IL"
"163","Eugene Porter","American Porter",0.068,28,12,"Revolution Brewing Company","Chicago"," IL"
"164","Anti-Hero IPA","American IPA",0.065,70,12,"Revolution Brewing Company","Chicago"," IL"
"165","Bottom Up Belgian Wit","Witbier",0.05,14,12,"Revolution Brewing Company","Chicago"," IL"
"166","Wooden Rooster","Tripel",0.085,34,16.9,"Tallgrass Brewing Company","Manhattan"," KS"
"167","Ginger Peach Saison","Saison / Farmhouse Ale",0.048,20,16,"Tallgrass Brewing Company","Manhattan"," KS"
"168","Zombie Monkie","American Porter",0.062,35,16,"Tallgrass Brewing Company","Manhattan"," KS"
"169","Wild Plum Farmhouse Ale","Saison / Farmhouse Ale",0.056,20,16,"Tallgrass Brewing Company","Manhattan"," KS"
"170","Vanilla Bean Buffalo Sweat","Oatmeal Stout",0.05,20,16,"Tallgrass Brewing Company","Manhattan"," KS"
"171","Ethos IPA","American IPA",0.068,110,16,"Tallgrass Brewing Company","Manhattan"," KS"
"172","Tallgrass Pub Ale","American Brown Ale",0.044,12,16,"Tallgrass Brewing Company","Manhattan"," KS"
"173","Oasis","Extra Special / Strong Bitter (ESB)",0.072,93,16,"Tallgrass Brewing Company","Manhattan"," KS"
"174","Buffalo Sweat","Milk / Sweet Stout",0.05,20,16,"Tallgrass Brewing Company","Manhattan"," KS"
"175","Halcyon Unfiltered Wheat","American Pale Wheat Ale",0.05,20,16,"Tallgrass Brewing Company","Manhattan"," KS"
"176","Halcyon Unfiltered Wheat","American Pale Wheat Ale",0.05,20,12,"Tallgrass Brewing Company","Manhattan"," KS"
"177","Köld Lager (2010)","German Pilsener",0.05,16,16,"Tallgrass Brewing Company","Manhattan"," KS"
"178","Oasis (2010)","American Double / Imperial IPA",0.072,93,16,"Tallgrass Brewing Company","Manhattan"," KS"
"179","Tallgrass Ale","American Brown Ale",0.044,22,16,"Tallgrass Brewing Company","Manhattan"," KS"
"180","Buffalo Sweat (2010)","Milk / Sweet Stout",0.05,20,16,"Tallgrass Brewing Company","Manhattan"," KS"
"181","Tallgrass IPA","American IPA",0.063,60,16,"Tallgrass Brewing Company","Manhattan"," KS"
"182","4Beans","Baltic Porter",0.1,52,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"183","Jammer","Gose",0.042,16,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"184","Rad","Fruit / Vegetable Beer",0.032,7,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"185","Bengali","American IPA",0.065,62,24,"Sixpoint Craft Ales","Brooklyn"," NY"
"186","Sensi Harvest","American Pale Ale (APA)",0.047,50,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"187","Hi-Res","American Double / Imperial IPA",0.099,111,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"188","Global Warmer","American Strong Ale",0.07,70,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"189","Autumnation (2013)","American IPA",0.067,74,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"190","The Crisp","German Pilsener",0.054,42,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"191","Sweet Action","Cream Ale",0.052,34,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"192","Righteous Ale","Rye Beer",0.063,57,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"193","Bengali Tiger","American IPA",0.064,62,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"194","3Beans","Baltic Porter",0.099,85,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"195","Brownstone","American Brown Ale",0.059,47,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"196","Apollo","American Pale Wheat Ale",0.052,11,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"197","Harbinger","Saison / Farmhouse Ale",0.049,35,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"198","Resin","American Double / Imperial IPA",0.091,103,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"199","Diesel","American Stout",0.063,69,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"200","Autumnation (2011-12) (2011)","Pumpkin Ale",0.06,48,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"201","The Crisp (2011)","German Pilsener",0.054,42,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"202","Sweet Action (2011)","Cream Ale",0.052,34,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"203","Righteous Ale (2011)","Rye Beer",0.063,57,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"204","Bengali Tiger (2011)","American IPA",0.064,62,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"205","Easy Jack","American IPA",0.045,47,12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"206","Union Jack","American IPA",0.075,75,12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"207","805","American Blonde Ale",0.047,20,12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"208","Take Two Pils","German Pilsener",0.055,35,12,"SweetWater Brewing Company","Atlanta"," GA"
"209","Flying Mouse 4","American IPA",0.07,70,12,"Flying Mouse Brewery","Troutville"," VA"
"210","Lee Hill Series Vol. 2 - Wild Saison","American Wild Ale",0.068,24,19.2,"Upslope Brewing Company","Boulder"," CO"
"211","Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout","American Double / Imperial Stout",0.099,51,19.2,"Upslope Brewing Company","Boulder"," CO"
"212","Thai Style White IPA","American White IPA",0.065,33,12,"Upslope Brewing Company","Boulder"," CO"
"213","Ferus Fluxus Wild Belgian Pale Ale","American Wild Ale",0.075,30,19.2,"Upslope Brewing Company","Boulder"," CO"
"214","Upslope Imperial India Pale Ale","American Double / Imperial IPA",0.099,90,19.2,"Upslope Brewing Company","Boulder"," CO"
"215","Upslope Belgian Style Pale Ale","Belgian Pale Ale",0.075,30,12,"Upslope Brewing Company","Boulder"," CO"
"216","Top Rope Mexican-style Craft Lager","Vienna Lager",0.048,15,12,"Upslope Brewing Company","Boulder"," CO"
"217","Upslope Craft Lager","Vienna Lager",0.048,22,12,"Upslope Brewing Company","Boulder"," CO"
"218","Moar","English India Pale Ale (IPA)",0.044,44,12,"Bent Brewstillery","Roseville"," MN"
"219","Nordic Blonde","American Blonde Ale",0.057,27,12,"Bent Brewstillery","Roseville"," MN"
"220","Mazzie","American Pale Ale (APA)",0.054,45,12,"Pollyanna Brewing Company","Lemont"," IL"
"221","Weissenheimer","Hefeweizen",0.052,16,12,"Destihl Brewery","Bloomington"," IL"
"222","Abbey's Single (2015- )","Abbey Single Ale",0.049,22,12,"Destihl Brewery","Bloomington"," IL"
"223","Vertex IPA","American IPA",0.063,76,12,"Destihl Brewery","Bloomington"," IL"
"224","Here Gose Nothin'","Gose",0.05,12,12,"Destihl Brewery","Bloomington"," IL"
"225","Hoperation Overload","American Double / Imperial IPA",0.096,85,12,"Destihl Brewery","Bloomington"," IL"
"226","Abbey's Single Ale (Current)","Abbey Single Ale",0.049,22,12,"Destihl Brewery","Bloomington"," IL"
"227","Make It So","Extra Special / Strong Bitter (ESB)",0.053,40,12,"Summit Brewing Company","St. Paul"," MN"
"228","Hopvale Organic Ale","American Pale Ale (APA)",0.047,55,16,"Summit Brewing Company","St. Paul"," MN"
"229","Unchained #18 Hop Silo","American Double / Imperial IPA",0.083,100,16,"Summit Brewing Company","St. Paul"," MN"
"230","Passion Fruit Prussia","Berliner Weissbier",0.035,11,12,"4 Hands Brewing Company","Saint Louis"," MO"
"231","Send Help","American Blonde Ale",0.045,18,12,"4 Hands Brewing Company","Saint Louis"," MO"
"232","Contact High","American Pale Wheat Ale",0.05,28,12,"4 Hands Brewing Company","Saint Louis"," MO"
"233","BLAKKR","American Black Ale",0.099,85,16,"Surly Brewing Company","Brooklyn Center"," MN"
"234","Overrated! West Coast Style IPA","American IPA",0.073,69,16,"Surly Brewing Company","Brooklyn Center"," MN"
"235","WET","American IPA",0.075,90,16,"Surly Brewing Company","Brooklyn Center"," MN"
"236","Bitter Brewer","English Bitter",0.04,37,16,"Surly Brewing Company","Brooklyn Center"," MN"
"237","SurlyFest","Rye Beer",0.055,34,16,"Surly Brewing Company","Brooklyn Center"," MN"
"238","Coffee Bender","American Brown Ale",0.051,45,16,"Surly Brewing Company","Brooklyn Center"," MN"
"239","Bender","American Brown Ale",0.051,45,16,"Surly Brewing Company","Brooklyn Center"," MN"
"240","Abrasive Ale","American Double / Imperial IPA",0.097,120,16,"Surly Brewing Company","Brooklyn Center"," MN"
"241","Hell","Keller Bier / Zwickel Bier",0.051,20,16,"Surly Brewing Company","Brooklyn Center"," MN"
"242","CynicAle","Saison / Farmhouse Ale",0.067,33,16,"Surly Brewing Company","Brooklyn Center"," MN"
"243","Furious","American IPA",0.062,99,16,"Surly Brewing Company","Brooklyn Center"," MN"
